ts_server,ts_ms,conn_id,voltage,current,power_kw,energy_kwh,temp_c,enc,seq,dt,d_power,d_energy,power_ma3,power_z,label,codes
1762452427.1921742,1762452427191,1,230.63,16.51,3.81,0.002,28.6,1,1,,,,3.81,0.0,NORMAL,
1762452429.193711,1762452429192,1,232.99,17.21,4.01,0.004,27.1,1,2,2001,0.19999999999999973,0.002,3.91,0.9999999999999978,NORMAL,
1762452431.195401,1762452431194,1,231.04,16.0,3.7,0.006,27.9,1,3,2002,-0.3099999999999996,0.002,3.84,-1.0910011002788742,NORMAL,
1762452433.196646,1762452433196,1,228.76,17.48,4.0,0.009,27.5,1,4,2002,0.2999999999999998,0.002999999999999999,3.9033333333333338,0.6720601732560139,NORMAL,
1762452435.198066,1762452435197,1,228.63,15.6,3.57,0.011,27.3,1,5,2001,-0.43000000000000016,0.002,3.7566666666666664,-1.0366815830293237,NORMAL,
1762452437.199407,1762452437199,1,228.95,16.71,3.83,0.013,29.2,1,6,2002,0.26000000000000023,0.002,3.8000000000000003,0.16966039074466632,NORMAL,
1762452439.2005508,1762452439200,1,231.51,16.34,3.78,0.015,28.5,1,7,2001,-0.050000000000000266,0.002,3.7266666666666666,0.47346396493774456,NORMAL,
1762452441.203068,1762452441201,1,229.77,16.01,3.68,0.017,29.3,1,8,2001,-0.09999999999999964,0.0020000000000000018,3.763333333333333,-1.3363062095621185,NORMAL,
1762452443.205081,1762452443203,1,232.79,16.74,3.9,0.019,29.6,1,9,2002,0.21999999999999975,0.0019999999999999983,3.7866666666666666,1.2601238383238729,NORMAL,
1762452445.2071302,1762452445205,1,231.65,15.12,3.5,0.021,28.2,1,10,2002,-0.3999999999999999,0.0020000000000000018,3.6933333333333334,-1.1819517616118729,NORMAL,
1762452447.208571,1762452447207,1,229.79,15.99,3.67,0.023,28.7,1,11,2002,0.16999999999999993,0.0019999999999999983,3.69,-0.12201777521731275,NORMAL,
1762452449.2098901,1762452449208,1,228.57,17.22,3.94,0.025,27.3,1,12,2001,0.27,0.0020000000000000018,3.703333333333333,1.3063306095609821,NORMAL,
1762452451.211776,1762452451210,1,230.59,17.24,3.97,0.027,28.5,1,13,2002,0.03000000000000025,0.0019999999999999983,3.86,0.8153742483272133,NORMAL,
1762452453.213846,1762452453212,1,228.16,14.91,3.4,0.029,28.5,1,14,2002,-0.5700000000000003,0.0020000000000000018,3.77,-1.4126665643942433,NORMAL,
1762452455.2148638,1762452455213,1,227.75,15.77,3.59,0.031,28.9,1,15,2001,0.18999999999999995,0.0019999999999999983,3.6533333333333338,-0.2672612419124267,NORMAL,
1762452457.2168121,1762452457216,1,230.86,15.95,3.68,0.033,27.5,1,16,2003,0.0900000000000003,0.0020000000000000018,3.5566666666666666,1.0567116342584495,NORMAL,
1762452459.218763,1762452459217,1,227.85,16.07,3.66,0.035,28.7,1,17,2001,-0.020000000000000018,0.0020000000000000018,3.643333333333333,0.43193421279068844,NORMAL,
